UNCERTAINTYepistew2vecMLPre@10;UNCERTAINTYepistew2vecRFre@10;UNCERTAINTYepistew2vecLRre@10;UNCERTAINTYepistew2vecSVMrbfre@10;UNCERTAINTYepistegloveMLPre@10;UNCERTAINTYepistegloveRFre@10;UNCERTAINTYepistegloveLRre@10;UNCERTAINTYepistegloveSVMrbfre@10;UNCERTAINTYepisteBERTMLPre@10;UNCERTAINTYepisteBERTRFre@10;UNCERTAINTYepisteBERTLRre@10;UNCERTAINTYepisteBERTSVMrbfre@10;UNCERTAINTYepisteBioBERTMLPre@10;UNCERTAINTYepisteBioBERTRFre@10;UNCERTAINTYepisteBioBERTLRre@10;UNCERTAINTYepisteBioBERTSVMrbfre@10;RANDOMepistew2vecMLPre@10;RANDOMepistew2vecRFre@10;RANDOMepistew2vecLRre@10;RANDOMepistew2vecSVMrbfre@10;RANDOMepistegloveMLPre@10;RANDOMepistegloveRFre@10;RANDOMepistegloveLRre@10;RANDOMepistegloveSVMrbfre@10;RANDOMepisteBERTMLPre@10;RANDOMepisteBERTRFre@10;RANDOMepisteBERTLRre@10;RANDOMepisteBERTSVMrbfre@10;RANDOMepisteBioBERTMLPre@10;RANDOMepisteBioBERTRFre@10;RANDOMepisteBioBERTLRre@10;RANDOMepisteBioBERTSVMrbfre@10
0.536;0.459;0.491;0.005;0.386;0.467;0.51;0.011;0.351;0.338;0.444;0.013;0.324;0.249;0.469;0.003;0.543;0.43;0.484;0.071;0.25;0.436;0.513;0.06;0.182;0.298;0.424;0.044;0.142;0.336;0.508;0.015
0.648;0.617;0.625;0.173;0.404;0.622;0.65;0.278;0.417;0.537;0.602;0.157;0.339;0.374;0.599;0.067;0.585;0.476;0.536;0.318;0.253;0.456;0.559;0.335;0.186;0.358;0.49;0.24;0.162;0.426;0.564;0.19
0.685;0.657;0.677;0.429;0.418;0.663;0.681;0.462;0.432;0.61;0.656;0.364;0.351;0.41;0.637;0.242;0.617;0.491;0.571;0.493;0.281;0.488;0.586;0.524;0.191;0.381;0.518;0.414;0.162;0.448;0.598;0.39
0.701;0.682;0.699;0.6;0.435;0.682;0.698;0.581;0.463;0.636;0.679;0.524;0.385;0.427;0.655;0.455;0.64;0.506;0.597;0.63;0.305;0.507;0.608;0.625;0.202;0.401;0.551;0.512;0.166;0.478;0.62;0.543
0.71;0.683;0.708;0.671;0.458;0.689;0.701;0.633;0.479;0.65;0.691;0.602;0.397;0.437;0.664;0.588;0.649;0.525;0.616;0.668;0.329;0.523;0.629;0.662;0.206;0.422;0.579;0.574;0.185;0.492;0.635;0.608
0.711;0.685;0.711;0.691;0.478;0.689;0.704;0.663;0.484;0.659;0.699;0.643;0.42;0.44;0.668;0.635;0.662;0.528;0.632;0.683;0.362;0.538;0.644;0.679;0.224;0.434;0.599;0.604;0.201;0.51;0.653;0.632
0.712;0.69;0.712;0.7;0.487;0.691;0.704;0.68;0.503;0.665;0.7;0.666;0.424;0.441;0.668;0.647;0.676;0.541;0.647;0.69;0.403;0.546;0.658;0.684;0.231;0.447;0.615;0.616;0.232;0.525;0.666;0.652
0.712;0.692;0.714;0.703;0.489;0.691;0.705;0.685;0.511;0.667;0.703;0.672;0.44;0.441;0.67;0.655;0.684;0.554;0.661;0.696;0.463;0.56;0.668;0.695;0.27;0.461;0.628;0.629;0.255;0.541;0.678;0.661
0.713;0.693;0.716;0.705;0.506;0.693;0.706;0.693;0.514;0.667;0.705;0.68;0.447;0.442;0.672;0.659;0.691;0.562;0.668;0.703;0.528;0.565;0.678;0.7;0.311;0.471;0.639;0.642;0.332;0.543;0.685;0.673
0.714;0.695;0.717;0.705;0.508;0.694;0.706;0.697;0.514;0.669;0.705;0.685;0.45;0.443;0.673;0.664;0.694;0.568;0.676;0.707;0.538;0.573;0.684;0.707;0.411;0.486;0.645;0.652;0.469;0.557;0.69;0.681